value1;value2;value3;
1;136;4693;
2;70;8665;
3;248;6317;
4;537;2196;
5;142;4802;
6;871;2177;
7;614;8775;
8;820;868;
9;327;4338;
10;26;416;
11;305;4426;
12;759;4319;
13;472;3906;
14;205;4942;
15;701;7836;
16;0;4888;
17;19;1660;
18;832;4685;
19;159;9898;
20;941;815;
21;560;1795;
22;242;8473;
23;934;2893;
24;411;477;
25;976;101;
26;824;9144;
27;21;8567;
28;884;5267;
29;756;8009;
30;615;2121;
31;767;1381;
32;782;6832;
33;602;7296;
34;797;8118;
35;258;2652;
36;403;2554;
37;144;2438;
38;563;6371;
39;220;8525;
40;571;3601;
41;542;6320;
42;789;9902;
43;496;1810;
44;75;7297;
45;928;894;
46;983;1647;
47;946;8432;
48;392;3422;
49;442;5111;
50;129;2199;
51;198;4166;
52;428;5815;
53;129;513;
54;540;5010;
55;588;7354;
56;120;7573;
57;64;3528;
58;651;3623;
59;55;6896;
60;272;1306;
61;192;5523;
62;282;9988;
63;704;2740;
64;770;9973;
65;790;980;
66;306;3332;
67;71;2700;
68;430;5610;
69;864;1686;
70;274;6283;
71;786;6009;
72;574;1660;
73;528;7807;
74;543;8933;
75;252;9348;
76;231;9653;
77;71;7997;
78;44;1004;
79;623;3523;
80;614;8362;
81;162;6923;
82;994;753;
83;897;195;
84;196;585;
85;241;9562;
86;929;832;
87;882;6460;
88;618;8747;
89;698;8026;
90;140;7150;
91;244;7522;
92;261;740;
93;946;8400;
94;489;5852;
95;978;5905;
96;794;8624;
97;227;5423;
98;326;1171;
99;329;174;
100;234;3270;
101;366;3201;
102;589;2662;
103;217;1066;
104;127;9670;
105;171;7229;
106;560;69;
107;763;2815;
108;685;3420;
109;852;8624;
110;917;9446;
111;756;5138;
112;921;9660;
113;261;7877;
114;354;4540;
115;57;2001;
116;333;7669;
117;374;8751;
118;473;4866;
119;273;421;
120;289;7441;
121;910;5420;
122;845;4654;
123;822;783;
124;899;7617;
125;217;6977;
126;147;8272;
127;547;4427;
128;288;2370;
129;907;3586;
130;306;9282;
131;30;5329;
132;880;4796;
133;411;7144;
134;930;2071;
135;999;8561;
136;165;351;
137;648;5690;
138;320;6061;
139;839;7012;
140;228;2998;
141;751;4359;
142;872;3805;
143;210;8432;
144;562;7301;
145;746;9352;
146;801;5928;
147;429;7250;
148;159;4461;
149;417;496;
150;380;9545;
151;919;8274;
152;214;4021;
153;821;3629;
154;421;1079;
155;331;8372;
156;890;2928;
157;79;8166;
158;168;7281;
159;660;6723;
160;83;1211;
161;53;444;
162;388;3042;
163;392;5990;
164;406;3260;
165;845;5387;
166;611;9020;
167;582;9165;
168;40;694;
169;680;8056;
170;96;5438;
171;783;9955;
172;772;7410;
173;840;1282;
174;343;3856;
175;903;1979;
176;327;3413;
177;889;8514;
178;799;7796;
179;268;8260;
180;674;1519;
181;755;8492;
182;99;9284;
183;38;4070;
184;216;6407;
185;518;1518;
186;500;600;
187;21;9284;
188;131;2257;
189;404;814;
190;872;6095;
191;118;9;
192;786;3066;
193;562;6414;
194;246;7058;
195;558;8541;
196;678;72;
197;854;1929;
198;791;6326;
199;532;5520;
200;320;9052;
201;530;356;
202;686;5352;
203;483;9739;
204;45;8065;
205;519;7200;
206;968;1440;
207;645;5347;
208;89;9756;
209;770;3492;
210;549;8672;
211;616;9335;
212;47;5195;
213;675;820;
214;732;5412;
215;53;6783;
216;358;4440;
217;808;1695;
218;346;8642;
219;35;3133;
220;861;2709;
221;238;9402;
222;363;6441;
223;320;5149;
224;647;6784;
225;592;8856;
226;175;1235;
227;224;7942;
228;439;1358;
229;173;1523;
230;110;964;
231;851;9431;
232;446;2192;
233;846;8241;
234;716;7226;
235;171;4205;
236;199;2834;
237;348;6145;
238;893;237;
239;819;2170;
240;9;3417;
