value1;value2;value3;
1;733;4760;
2;335;8523;
3;708;4907;
4;746;6121;
5;917;2896;
6;724;5398;
7;605;8832;
8;350;8607;
9;60;2002;
10;965;5034;
11;714;7171;
12;661;8412;
13;147;8803;
14;980;8949;
15;970;3100;
16;145;3433;
17;537;5743;
18;82;2811;
19;190;9581;
20;389;1943;
21;817;2238;
22;70;8685;
23;609;7794;
24;288;9749;
25;367;1698;
26;975;147;
27;499;8498;
28;1;1849;
29;402;8965;
30;261;7283;
31;353;6557;
32;491;6435;
33;83;2365;
34;563;7609;
35;134;5805;
36;650;8591;
37;420;9850;
38;463;8031;
39;574;4871;
40;540;3729;
41;74;4004;
42;488;292;
43;933;6889;
44;353;5976;
45;139;2943;
46;215;1910;
47;43;8427;
48;875;365;
49;624;1048;
50;310;7114;
51;490;6304;
52;358;5763;
53;596;9110;
54;867;2304;
55;510;6211;
56;560;5814;
57;2;3612;
58;285;6001;
59;107;6348;
60;698;1262;
61;482;8995;
62;845;1122;
63;99;3403;
64;788;2155;
65;748;6658;
66;951;2657;
67;557;9289;
68;12;5943;
69;530;1496;
70;302;9876;
71;318;5867;
72;391;2265;
73;2;5597;
74;730;1823;
75;643;7712;
76;574;1150;
77;618;2295;
78;85;5916;
79;604;3424;
80;19;3136;
81;906;6016;
82;625;3010;
83;323;3804;
84;424;753;
85;669;8226;
86;179;3904;
87;642;4291;
88;254;1998;
89;847;7773;
90;259;4512;
91;952;6312;
92;683;8797;
93;535;2301;
94;929;2551;
95;356;8078;
96;978;6961;
97;710;5558;
98;577;2081;
99;56;7118;
100;535;6979;
101;167;7001;
102;455;8631;
103;199;6973;
104;496;3320;
105;556;2703;
106;235;6826;
107;910;8009;
108;572;3455;
109;118;3434;
110;694;950;
111;174;1466;
112;719;6337;
113;693;2152;
114;267;6210;
115;680;3027;
116;556;8017;
117;28;6593;
118;926;2572;
119;639;2223;
120;889;7132;
121;934;5670;
122;424;8992;
123;689;9878;
124;86;6008;
125;611;8978;
126;584;639;
127;422;2631;
128;37;662;
129;299;6442;
130;715;9801;
131;759;9374;
132;179;7009;
133;705;7342;
134;156;5429;
135;719;6253;
136;757;3437;
137;473;2311;
138;364;501;
139;405;7252;
140;676;6043;
141;385;8281;
142;139;9813;
143;856;2714;
144;657;2466;
145;171;5696;
146;716;5019;
147;265;3779;
148;97;3365;
149;729;7748;
150;269;9174;
151;228;4826;
152;689;545;
153;184;2199;
154;772;4864;
155;758;6357;
156;178;9709;
157;21;835;
158;290;9117;
159;104;5542;
160;110;3817;
161;26;2702;
162;531;6298;
163;250;6822;
164;8;3825;
165;217;1559;
166;244;3809;
167;160;7626;
168;840;5002;
169;319;328;
170;195;4802;
171;600;2496;
172;508;5713;
173;746;6355;
174;890;3145;
175;810;5760;
176;568;1664;
177;579;3351;
178;204;556;
179;6;8844;
180;590;3258;
181;941;827;
182;78;7179;
183;785;7298;
184;6;7740;
185;315;5375;
186;231;1232;
187;735;9222;
188;879;1036;
189;653;2687;
190;663;8543;
191;241;4299;
192;427;2059;
193;59;273;
194;3;6932;
195;129;553;
196;119;2692;
197;680;4995;
198;391;4169;
199;585;3093;
200;399;140;
201;511;448;
202;754;6335;
203;407;4830;
204;766;4786;
205;345;3354;
206;925;6993;
